2026-06-18T05:09:06-06:00
Running /users/def4alt/seminar/cpp/build/histogram_benchmarks
Run on (32 X 2994.28 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x16)
  L1 Instruction 32 KiB (x16)
  L2 Unified 512 KiB (x16)
  L3 Unified 16384 KiB (x8)
Load Average: 15.76, 19.02, 15.19
***WARNING*** ASLR is enabled, the results may have unreproducible noise in them.
-------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                           Time             CPU   Iterations UserCounters...
HistogramOpenMP/1B/8/min_warmup_time:10.000/repeats:10/real_time_median     608882428 ns    586938190 ns           10 items_per_second=0/s
HistogramOpenMP/1B/8/min_warmup_time:10.000/repeats:10/real_time_stddev        284653 ns       379056 ns           10 items_per_second=0/s
HistogramOpenMP/1B/8/min_warmup_time:10.000/repeats:10/real_time_cv              0.05 %          0.06 %            10 items_per_second=0.00%
HistogramOpenMP/1B/16/min_warmup_time:10.000/repeats:10/real_time_mean      304885652 ns    298546838 ns           10 items_per_second=0/s
HistogramOpenMP/1B/16/min_warmup_time:10.000/repeats:10/real_time_median    304918325 ns    298918226 ns           10 items_per_second=0/s
HistogramOpenMP/1B/16/min_warmup_time:10.000/repeats:10/real_time_stddev       247786 ns      1062326 ns           10 items_per_second=0/s
HistogramOpenMP/1B/16/min_warmup_time:10.000/repeats:10/real_time_cv             0.08 %          0.36 %            10 items_per_second=0.00%
HistogramOpenMP/1B/32/min_warmup_time:10.000/repeats:10/real_time_mean      266459977 ns    266458153 ns           10 items_per_second=0/s
HistogramOpenMP/1B/32/min_warmup_time:10.000/repeats:10/real_time_median    266417983 ns    266418594 ns           10 items_per_second=0/s
HistogramOpenMP/1B/32/min_warmup_time:10.000/repeats:10/real_time_stddev       119630 ns       119255 ns           10 items_per_second=0/s
HistogramOpenMP/1B/32/min_warmup_time:10.000/repeats:10/real_time_cv             0.04 %          0.04 %            10 items_per_second=0.00%
HistogramTaskflow/1M/1/min_warmup_time:10.000/repeats:10/real_time_mean       4620546 ns        29371 ns           10 items_per_second=0/s
HistogramTaskflow/1M/1/min_warmup_time:10.000/repeats:10/real_time_median     4637591 ns        29364 ns           10 items_per_second=0/s
HistogramTaskflow/1M/1/min_warmup_time:10.000/repeats:10/real_time_stddev       67733 ns          461 ns           10 items_per_second=0/s
